
Property	Animatable	View
background	As each of the background-color, background-position, and background-size properties (only these three are animatable). See below for more info on these properties.	
background-color	As a color	
background-position	As repeatable list of simple list of length, percentage, or calc.	
background-size	As repeatable list of simple list of length, percentage, or calc.	
border	As each of the properties for border width and border color. Border style is not animatable. See below for more information on these individual properties.	
border-color	As a color of the specific border color properties.	
border-width	As a color of the specific border width properties.	
border-bottom	As a color and width of the specific border properties.	
border-bottom-color	As a color.	
border-bottom-left-radius	As a length, percentage or calc.	
border-bottom-right-radius	As a length, percentage or calc.	
border-bottom-width	As a length.	
border-left	As a color and width of the specific border properties.	
border-left-color	As a color.	
border-left-width	As a length.	
border-radius	See individual properties.	
border-right	As a color and width of the specific border properties.	
border-right-color	As a color.	
border-right-width	As a length.	
border-spacing	As a simple list of length.	
border-top	As a color and width of the specific border properties.	
border-top-color	As a color.	
border-top-left-radius	As a length, percentage or calc.	
border-top-right-radius	As a length, percentage or calc.	
border-top-width	As a length.	
bottom	As a length, percentage, or calc.	
box-shadow	As a shadow list.	
caret-color	As a color.	
clip	As a rectangle.	
color	As a color.	
column-count	As an integer.	
column-gap	As a length.	
column-rule	As each of the properties of the shorthand. See individual properties.	
column-rule-color	As a color.	
column-rule-width	As a length.	
column-width	As a length.	
columns	As each of the properties of the shorthand. See the individual properties.	
content	Discrete.	
filter		
flex	As each of the properties of the shorthand. See the individual properties.	
flex-basis	As a length, percentage or calc.	
flex-grow	As a number.	
flex-shrink	As a number.	
font	As each of the properties of the shorthand. See the individual properties.	
font-size	As a length.	
font-size-adjust	As a number.	
font-stretch	As a font stretch.	
font-weight	As a font weight.	
grid-area	Discrete.	
grid-auto-columns	Discrete.	
grid-auto-flow	Discrete.	
grid-auto-rows	Discrete.	
grid-column-end	Discrete.	
grid-column-gap	Discrete.	
grid-column-start	Discrete.	
grid-column	Discrete.	
grid-gap	Discrete.	
grid-row-end	Discrete.	
grid-row-gap	Discrete.	
grid-row-start	Discrete.	
grid-row	Discrete.	
grid-template-areas	Discrete.	
grid-template-columns	Discrete.	
grid-template-rows	Discrete.	
grid-template	Discrete.	
grid	Discrete.	
height	As a length, percentage or calc.	
left	As a length, percentage, or calc.	
letter-spacing	As a length.	
line-height	As a number or a length.	
margin	As a length.	
margin-bottom	As a length.	
margin-left	As a length.	
margin-right	As a length.	
margin-top	As a length.	
max-height	As a length, percentage or calc.	
max-width	As a length, percentage or calc.	
min-height	As a length, percentage or calc.	
min-width	As a length, percentage or calc.	
opacity	As a number.	
order	As an integer.	
outline	As each of the properties of the shorthand. See the individual properties.	
outline-color	As a color.	
outline-offset	As a length.	
outline-width	As a length.	
padding	As a length.	
padding-bottom	As a length.	
padding-left	As a length.	
padding-right	As a length.	
padding-top	As a length.	
perspective	As a length.	
perspective-origin	As a simple list of a length, percentage or calc.	
quotes	Discrete.	
right	As a length, percentage, or calc.	
tab-size	As a length.	
text-decoration	As a color (i.e. the text-decoration-color property of the shorthand).	
text-decoration-color	As a color.	
text-indent	As a length, percentage or calc.	
text-shadow	As a shadow list.	
top	As a length, percentage, or calc.	
transform	As a transform.	
vertical-align	As a length.	
visibility	As a visibility.	
width	As a length, percentage or calc.	
word-spacing	As a length.	
z-index	As an integer.
